2026-09-25T19:48:18Z INFO Logging to /tmp/logs/update_2026-09-25T19-48-18Z.log.
2026-09-25T19:48:18Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T19:48:18Z INFO Processing 367 items (57291 already recorded).
2026-09-25T19:57:37Z INFO [123/367] 15df8e27-3be4-405e-94b0-296c89e5b53e: 439 groups; 18.9 s; peak memory 259 MiB.
2026-09-25T19:57:39Z INFO [124/367] 15e1b46b-d6da-4203-b176-64d0038e5583: 33 groups; 2.3 s; peak memory 259 MiB.
2026-09-25T19:57:42Z INFO [125/367] 15e29acd-bda0-4530-a75a-fafe08564f6e: 201 groups; 2.4 s; peak memory 259 MiB.
2026-09-25T19:58:00Z INFO [126/367] 15e2c953-e1db-45d8-bc2c-c6342f19e487: 155 groups; 18.0 s; peak memory 259 MiB.
2026-09-25T19:58:03Z INFO [127/367] 15e32d95-2ca6-46e5-92f5-5396fe9d8055: 202 groups; 2.8 s; peak memory 259 MiB.
2026-09-25T19:58:04Z INFO [128/367] 15e34298-0b94-4ac2-80a2-ba1a5fd5052a: 32 groups; 1.9 s; peak memory 259 MiB.
2026-09-25T19:58:06Z INFO [129/367] 15e48434-bb7b-4a60-9596-0c011e5bb33f: 32 groups; 2.0 s; peak memory 259 MiB.
2026-09-25T19:58:09Z INFO [130/367] 15e4c26f-9f6b-4a24-8dbe-18361133e3df: 48 groups; 2.9 s; peak memory 259 MiB.
2026-09-25T19:58:12Z INFO [131/367] 15e521df-114d-4321-ad47-9dbc7b5a0d58: 32 groups; 2.4 s; peak memory 259 MiB.
2026-09-25T19:58:14Z INFO [132/367] 15e57ff7-65e3-4531-8f5d-4a2847a56afa: 36 groups; 1.9 s; peak memory 259 MiB.
2026-09-25T19:58:15Z INFO [133/367] 15e65307-91aa-4e48-b616-f649fbda1a0b: 22 groups; 1.6 s; peak memory 259 MiB.
2026-09-25T19:58:17Z INFO [134/367] 15e6a56c-6af2-4d14-b7e0-39302d8247ef: 22 groups; 1.5 s; peak memory 259 MiB.
2026-09-25T19:58:19Z INFO [135/367] 15e7af23-1f31-44db-8ece-db23c38ec639: 49 groups; 2.5 s; peak memory 259 MiB.
2026-09-25T19:58:21Z INFO [136/367] 15e843c5-66a8-4a04-8638-40e58654f367: 148 groups; 1.7 s; peak memory 259 MiB.
2026-09-25T19:58:23Z INFO [137/367] 15e84d36-5dfb-49b3-aeac-54bbd81aad08: 207 groups; 2.4 s; peak memory 259 MiB.
2026-09-25T19:58:25Z INFO [138/367] 15e8520b-9d3b-4e03-8a45-6440a8604a74: 22 groups; 1.5 s; peak memory 259 MiB.
2026-09-25T19:58:27Z INFO [139/367] 15ea02b9-c2d1-4827-84f9-13f415f1cc0a: 341 groups; 2.3 s; peak memory 259 MiB.
2026-09-25T19:58:29Z INFO [140/367] 15ea2876-48bf-4b61-ba40-07f956f5907d: 22 groups; 1.5 s; peak memory 259 MiB.
2026-09-25T19:58:33Z INFO [141/367] 15eba4d0-b31e-4f67-ae0d-84081fc22c8d: 48 groups; 3.8 s; peak memory 259 MiB.
2026-09-25T19:58:35Z INFO [142/367] 15ebd112-6924-41ab-918a-54b2732d7fc5: 36 groups; 2.0 s; peak memory 259 MiB.
2026-09-25T19:58:36Z INFO [143/367] 15ec4a30-dec4-46ac-9b1e-42664ccb230b: 30 groups; 1.5 s; peak memory 259 MiB.
2026-09-25T20:49:30Z INFO [144/367] 15ec87d9-27ff-44bc-b101-ae3bcfe2e1bc: 29 groups; 3054.2 s; peak memory 1148 MiB.
2026-09-25T20:53:56Z INFO [145/367] 15ece562-e661-404a-8eaf-83f261c40362: 75 groups; 266.0 s; peak memory 1148 MiB.
2026-09-25T20:53:58Z INFO [146/367] 15edc03c-a763-4cb4-b449-a523ca74f93c: 103 groups; 1.8 s; peak memory 1148 MiB.
2026-09-25T20:54:03Z INFO [147/367] 15ede697-0bb2-43ef-9bf7-32a6a2fbcede: 36 groups; 4.7 s; peak memory 1148 MiB.
2026-09-25T20:54:04Z INFO [148/367] 15ee3d8f-4494-4d81-9758-fd338c5438c1: 22 groups; 1.5 s; peak memory 1148 MiB.
2026-09-25T20:54:06Z INFO [149/367] 15ee70a8-001c-496f-a0e7-30076a78a9de: 22 groups; 1.7 s; peak memory 1148 MiB.
2026-09-25T20:54:10Z INFO [150/367] 15ef083c-dd3f-4dd9-bed7-6090e71fdd60: 50 groups; 3.9 s; peak memory 1148 MiB.
2026-09-25T20:54:10Z INFO [150/367] 15ef083c-dd3f-4dd9-bed7-6090e71fdd60: checkpointed 57441 records.
2026-09-25T20:54:12Z INFO [151/367] 15ef2dc6-c262-4767-8d2b-6e03dc9aef57: 42 groups; 2.3 s; peak memory 1148 MiB.
2026-09-25T20:54:25Z INFO [152/367] 15ef84b6-5005-4fa0-8392-298038ac232d: 224 groups; 13.1 s; peak memory 1148 MiB.
2026-09-25T20:54:30Z INFO [153/367] 15f1fd4a-3360-42ff-ab51-ae40e7853cf4: 61 groups; 4.3 s; peak memory 1148 MiB.
2026-09-25T20:54:41Z INFO [154/367] 15f35d52-d705-4970-901b-d7774cec1368: 1943 groups; 11.0 s; peak memory 1148 MiB.
2026-09-25T20:54:44Z INFO [155/367] 15f389c1-9eea-4e3d-be33-908c061eea72: 35 groups; 2.8 s; peak memory 1148 MiB.
2026-09-25T20:54:47Z INFO [156/367] 15f41f60-f584-4f39-80d0-e577752b3c3f: 17 groups; 3.3 s; peak memory 1148 MiB.
2026-09-25T20:55:13Z INFO [157/367] 15f43386-c6cb-4c99-8a85-1b9923033fdf: 247 groups; 26.6 s; peak memory 1148 MiB.
2026-09-25T20:57:54Z INFO [158/367] 15f48a6e-3e5f-4c8f-9adf-350dabd2b34d: 35 groups; 160.8 s; peak memory 1148 MiB.
2026-09-25T20:58:08Z INFO [159/367] 15f4de0c-edad-4e58-a8a7-c1523a974709: 178 groups; 14.1 s; peak memory 1148 MiB.
2026-09-25T20:58:10Z INFO [160/367] 15f517e7-dadf-4d3a-b292-9ff4a380facb: 22 groups; 1.6 s; peak memory 1148 MiB.
2026-09-25T20:58:12Z INFO [161/367] 15f713f4-6d8d-43ff-9674-d365b9f69cc7: 22 groups; 1.5 s; peak memory 1148 MiB.
2026-09-25T20:58:13Z INFO [162/367] 15f88193-7463-4888-93a7-c074aec33d75: 22 groups; 1.5 s; peak memory 1148 MiB.
2026-09-25T20:58:17Z INFO [163/367] 15f8c47a-86eb-4265-ad29-6b03aea7fa2d: 34 groups; 3.6 s; peak memory 1148 MiB.
2026-09-25T20:58:18Z INFO [164/367] 15f8ff54-7363-4e99-8cb5-de1b58eb73b4: 22 groups; 1.5 s; peak memory 1148 MiB.
2026-09-25T20:58:20Z INFO [165/367] 15f9414a-529d-4d95-ac1c-9f214fdf44c2: 28 groups; 1.5 s; peak memory 1148 MiB.
2026-09-25T20:58:21Z INFO [166/367] 15f973d8-16fe-43bf-9fe2-81d7ffc9d92f: 31 groups; 1.3 s; peak memory 1148 MiB.
2026-09-25T20:58:23Z INFO [167/367] 15facaa2-cc44-472d-b51c-155fd5ec9471: 32 groups; 1.8 s; peak memory 1148 MiB.
2026-09-25T20:58:24Z INFO [168/367] 15fcc631-61b4-4b57-9339-aa2ae2cec04e: 22 groups; 1.5 s; peak memory 1148 MiB.
2026-09-25T20:58:26Z INFO [169/367] 15fd4e29-0dc9-4637-950c-3f236e8c1869: 22 groups; 1.6 s; peak memory 1148 MiB.
2026-09-25T20:58:28Z INFO [170/367] 15fdb76b-247c-4d96-aedf-7214b8c6fd63: 256 groups; 1.9 s; peak memory 1148 MiB.
2026-09-25T20:58:29Z INFO [171/367] 15fe0ef9-9b5f-48a1-b669-569f4d59738a: 22 groups; 1.5 s; peak memory 1148 MiB.
2026-09-25T20:58:31Z INFO [172/367] 15fe639d-f921-41cd-815f-fd046708d24a: 32 groups; 1.7 s; peak memory 1148 MiB.
